Honorific,"First name","Last name","Office type",Address,City,Province,"Postal code","Office email",Email,Telephone,Fax,Toll-free,TTY,"Riding name",Party,"Parliamentary role","Member ID",,,
,Tyler,Allsopp,"Constituency office","Unit 8
5503 Hwy. 62 S",Belleville,ON,"K8N 0L5",,tyler.allsopp@pc.ola.org,613-962-1144,613-969-6381,,,"Bay of Quinte","Progressive Conservative Party of Ontario",,108
,Vacant,seat,"Constituency office","Unit 8
5503 Hwy. 62 S",Belleville,ON,"K8N 0L5",,,613-962-1144,613-969-6381,,,,,,
,Aislinn,Clancy,"Legislative office","Room 470
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,aclancy-qp@ola.org,416-325-1223,,,,"Kitchener Centre","Green Party of Ontario",,104
,Aislinn,Clancy,"Constituency office","Suite 605
305 King St. W",Kitchener,ON,"N2G 1B9",aclancy-co@ola.org,aclancy-qp@ola.org,"519-579-5460  ","519-579-2121  ",,,"Kitchener Centre","Green Party of Ontario",,104
,Robin,Lennox,"Constituency office","Suite 3
630 Main St. E",Hamilton,ON,"L8M 1J7",rlennox-co@ndp.on.ca,rlennox-qp@ndp.on.ca,"905-544-9644  ","905-544-5152  ",,,"Hamilton Centre","New Democratic Party of Ontario",,116
,Robin,Lennox,"Legislative office","Room 201 
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,rlennox-qp@ndp.on.ca,416-325-1796,,,,"Hamilton Centre","New Democratic Party of Ontario",,116
,Adil,Shamji,"Legislative office","Room 441
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,ashamji.mpp.co@liberal.ola.org,416-325-0105,416-325-0103,,,"Don Valley East","Ontario Liberal Party",,7593
,Adil,Shamji,"Constituency office","Suite L02
1200 Lawrence Ave. E",Toronto,ON,"M3A 1E1",,ashamji.mpp.co@liberal.ola.org,416-494-6856,416-494-9937,,,"Don Valley East","Ontario Liberal Party",,7593
,Rob,Cerjanec,"Legislative office","Room 410 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,rcerjanec.mpp.co@liberal.ola.org,416-325-3008,416-325-3003,,,Ajax,"Ontario Liberal Party",,7647
,Rob,Cerjanec,"Constituency office","Suite 502
230 Westney Rd. S",Ajax,ON,"L1S 7J5",,rcerjanec.mpp.co@liberal.ola.org,905-427-2060,905-427-6976,866-924-0312,,Ajax,"Ontario Liberal Party",,7647
,Lucille,Collard,"Constituency office","237 Montreal Rd.",Vanier,ON,"K1L 6C7",,lcollard.mpp.co@liberal.ola.org,613-744-4484,,,,Ottawa—Vanier,"Ontario Liberal Party",,7565
,Lucille,Collard,"Legislative office","Room 416
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,lcollard.mpp.co@liberal.ola.org,416-325-0007,416-325-0172,,,Ottawa—Vanier,"Ontario Liberal Party",,7565
,Stephen,Blais,"Constituency office","Unit 204
4473 Innes Rd.",Orleans,ON,"K4A 1A7",,sblais.mpp.co@liberal.ola.org,613-834-8679,613-834-7647,,,Orléans,"Ontario Liberal Party",,7564
,Stephen,Blais,"Legislative office","Room 436
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,sblais.mpp.co@liberal.ola.org,416-325-0035,416-325-0044,,,Orléans,"Ontario Liberal Party",,7564
