uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified
2a4ef588-3ad9-5238-b23b-d9596c082216,district,1,Ward 1,,Clare,Riepma,representative,Councillor,,,,705-739-4271,clare.riepma@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-1,https://www.barrie.ca/sites/default/files/2022-12/ward-1-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-1,2026-05-26
7875b304-b7df-5a00-adb0-6e71939226f4,district,2,Ward 2,,Craig,Nixon,representative,Councillor,,,,705-739-4272,craig.nixon@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-2,https://www.barrie.ca/sites/default/files/2022-12/ward-2-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-2,2026-05-26
ccd63fb3-4b23-56c0-9ffd-154346a22fd1,district,3,Ward 3,,Ann-Marie,Kungl,representative,Councillor,,,,705-739-4269,ann-marie.kungl@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-3,https://www.barrie.ca/sites/default/files/2022-12/ward-3-councillor_1.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-3,2026-05-26
a04532c0-c1ee-546e-9bdd-d8004a5ada10,district,4,Ward 4,,Amy,Courser,representative,Councillor,,,,705-739-4268,amy.courser@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-4,https://www.barrie.ca/sites/default/files/2022-12/ward-4-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-4,2026-05-26
67afc1cf-f65f-561d-9fc2-a8e978e1004f,district,5,Ward 5,,Robert,Thomson,representative,Councillor,,,,705-739-4275,Robert.Thomson@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-5,https://www.barrie.ca/sites/default/files/2022-12/ward-5-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-5,2026-05-26
875a73fa-d53b-56c8-be7d-3a9bfbe38784,district,6,Ward 6,,Nigussie,Nigussie,representative,Councillor,,,,705-739-4286,nigussie.nigussie@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-6,https://www.barrie.ca/sites/default/files/2022-12/ward-6-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-6,2026-05-26
b4692444-c441-5c3d-b12b-4524d998a81f,district,7,Ward 7,,Gary,Harvey,representative,Councillor,,,,705-739-4217,gary.harvey@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-7,https://www.barrie.ca/sites/default/files/2022-12/ward-7-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-7,2026-05-26
0886e5bf-de70-5fdf-876d-9bf7d2aa0d34,district,8,Ward 8,,Jim,Harris,representative,Councillor,,,,705-739-4273,jim.harris@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-8,https://www.barrie.ca/sites/default/files/2022-12/ward-8-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-8,2026-05-26
9da83be7-67f1-5b3a-816e-d1f24b4d062c,district,9,Ward 9,,Sergio,Morales,representative,Councillor,,,,705-739-4256,sergio.morales@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-9,https://www.barrie.ca/sites/default/files/2022-12/ward-9-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-9,2026-05-26
3693569c-02d2-5c6c-b272-3b650382af0a,district,10,Ward 10,,Bryn,Hamilton,representative,Councillor,,,,705-739-4290,bryn.hamilton@barrie.ca,https://www.barrie.ca/government/council-committees/city-council/councillor-10,https://www.barrie.ca/sites/default/files/2022-12/ward-10-councillor_0.jpg,https://www.barrie.ca/government/council-committees/city-council/councillor-10,2026-05-26
c2a4e852-af6c-5ba0-b900-e6cf9920b173,role,,,,Alex,Nuttall,executive,Mayor,,,,705-792-7900,officeofthemayor@barrie.ca,https://www.barrie.ca/government-news/mayor-council-committees/office-mayor,https://www.barrie.ca/sites/default/files/styles/large/public/2022-12/mayor_2.jpg?itok=GI5ziIyn,https://www.barrie.ca/government-news/mayor-council-committees/office-mayor,2026-05-26
