uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified
37fa000a-d852-58b1-b32d-b88b4fe79f3b,district,1,Orléans East-Cumberland,,Matt,Luloff,representative,City Councillor,,,,613-580-2471,Matt.Luloff@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/matthew-luloff-councillor-and-deputy-mayor-ward-1-orleans-east-cumberland,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Matt-Luloff-Selection-Confirmed.jpg?h=0dc195df&itok=szWEUugh,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
c80b8401-34e2-5ece-b4b9-e98c81e04082,district,2,Orléans West-Innes,,Laura,Dudas,representative,City Councillor,,,,613-580-2472,Laura.Dudas@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/laura-dudas-councillor-ward-2-orleans-west-innes,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Laura-Dudas-Selection%20-%20Confirmed.jpg?h=980a3241&itok=eeHsBPjF,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
2df482f4-ce30-5f6c-b48e-0b76893e1f82,district,3,Barrhaven West,,David,Hill,representative,City Councillor,,,,613-580-2473,David.Hill@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/david-hill-councillor-ward-3-barrhaven-west,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-David-Hill-Selection%20-%20Confirmed.jpg?h=35ff0ebd&itok=ao7RGziT,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
e09ba676-98c5-5d0f-919a-b9f1629b04e3,district,4,Kanata North,,Cathy,Curry,representative,City Councillor,,,,613-580-2474,Cathy.Curry@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/cathy-curry-councillor-ward-4-kanata-north,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Cathy-Curry-Selection-Confirmed.jpg?h=52fd5d4f&itok=2DQrbmxM,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
9ecd1825-c9b3-51e9-ae3e-e63e83884239,district,5,West Carleton-March,,Clarke,Kelly,representative,City Councillor,,,,613-580-2475,Clarke.Kelly@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/clarke-kelly-councillor-ward-5-west-carleton-march,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Clarke-Kelly-Selection-Confirmed.jpg?h=2a8b3586&itok=28foACwo,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
020154f6-866e-563e-9ec2-a57d5c42a294,district,6,Stittsville,,Glen,Gower,representative,City Councillor,,,,613-580-2476,Glen.Gower@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/glen-gower-councillor-ward-6-stittsville,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Glen-Gower-Selection-1-Confirmed.jpg?h=b9c8a0c1&itok=veKyuGN5,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
8d139496-b86d-5065-b061-7c7ddef15f43,district,7,Bay,,Theresa,Kavanagh,representative,City Councillor,,,,613-580-2477,BayWard@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/theresa-kavanagh-councillor-ward-7-bay,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Theresa-Kavanagh-Selection-Confirmed.jpg?h=2eb819c8&itok=ufJlLqKF,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
9bd08237-8bc2-5a54-9bee-8a943fee36e7,district,8,College,,Laine,Johnson,representative,City Councillor,,,,613-580-2478,Collegeward@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/laine-johnson-councillor-ward-8-college,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Laine-Johnson-Selection-Confirmed.jpg?h=071dd745&itok=W_cfUGgQ,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
861ca491-0aaa-5952-9e5c-73c1c1820c77,district,9,Knoxdale-Merivale,,Sean,Devine,representative,City Councillor,,,,613-580-2479,knoxdalemerivale@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/sean-devine-councillor-ward-9-knoxdale-merivale,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Sean-Devine-Selection-Confirmed.jpg?h=dcb9840a&itok=pGJKkBZq,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
0752ff82-586f-5401-a598-60df535cb0f0,district,10,Gloucester-Southgate,,Jessica,Bradley,representative,City Councillor,,,,613-580-2480,Jessica.Bradley@ottawa.ca,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/jessica-bradley-councillor-ward-10-gloucester-southgate,https://ottawa.ca/sites/default/files/styles/portrait_sm/public/2022-11/2022-11-01-Jessica-Bradley-Selection-Confirmed.jpg?h=bc13647b&itok=yFjhgU1p,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2026-05-24
