uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified
c69f4db9-99df-5fcf-a07e-f8aa7a7ac66b,district,01,Etobicoke North,,Vincent,Crisanti,representative,City Councillor,,,,416-397-9255,Councillor_Crisanti@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-1/,https://www.toronto.ca/wp-content/uploads/2023/01/968e-2216710W01CouncillorVincentCrisanti2-350x438.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
25a3f551-f1d1-55e8-9ff5-b2534a2e85b2,district,02,Etobicoke Centre,,Stephen,Holyday,representative,City Councillor,,,,416-392-4002,councillor_holyday@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-2/,https://www.toronto.ca/wp-content/uploads/2022/11/9812-Cllr-Holyday-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
f15c0545-fc86-529a-8383-119109ee2c87,district,03,Etobicoke-Lakeshore,,Amber,Morley,representative,City Councillor,,,,416-397-9273,Councillor_Morley@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-3/,https://www.toronto.ca/wp-content/uploads/2022/11/9772-Cllr-Morley-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
dcfaa47b-4182-5a80-951a-665578bad57a,district,04,Parkdale-High Park,,Gord,Perks,representative,City Councillor,,,,416-392-7919,councillor_perks@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-4/,https://www.toronto.ca/wp-content/uploads/2022/11/97c9-Cllr-Perks-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
93e2628e-2281-5fd1-ae26-a90d512d35d9,district,05,York South-Weston,,Frances,Nunziata,representative,City Councillor,,,,416-392-4091,councillor_nunziata@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-5/,https://www.toronto.ca/wp-content/uploads/2022/11/8fcc-Cllr-Nunziata-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
5734c41e-ff12-50ec-986f-2a3919b212b7,district,06,York Centre,,James,Pasternak,representative,City Councillor,,,,416-392-1371,councillor_pasternak@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-6/,https://www.toronto.ca/wp-content/uploads/2022/11/96dc-Cllr-Pasternak-poster-350x446.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
383bff1e-1d27-5eb4-aade-33a29517bd54,district,07,Humber River-Black Creek,,Anthony,Perruzza,representative,City Councillor,,,,416-338-5335,councillor_perruzza@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-7/,https://www.toronto.ca/wp-content/uploads/2022/11/9937-Cllr-Perruzza-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
4e5d3a20-02d4-5057-9c37-2dab99721fe0,district,08,Eglinton-Lawrence,,Mike,Colle,representative,City Councillor,,,,416-338-2500,councillor_colle8@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-8/,https://www.toronto.ca/wp-content/uploads/2022/11/98c1-Cllr-Colle-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
815d51ed-0c3d-5a8d-aea0-f3594434ee88,district,09,Davenport,,Alejandra,Bravo,representative,City Councillor,,,,416-392-7012,Councillor_Bravo@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-9/,https://www.toronto.ca/wp-content/uploads/2022/11/904a-Cllr-Bravo-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
ae67d8a7-6271-5300-98aa-7943680689e0,district,10,Spadina-Fort York,,Ausma,Malik,representative,City Councillor,,,,416-392-4044,Councillor_Malik@toronto.ca,https://www.toronto.ca/city-government/council/members-of-council/councillor-ward-10/,https://www.toronto.ca/wp-content/uploads/2022/11/8f46-Cllr-Malik-web.jpg,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/27aa4651-4548-4e57-bf00-53a346931251/resource/dea217a2-f7c1-4e62-aec1-48fffaad1170/download/2022-2026-elected-officials-contact-info.csv,2026-05-24
