slug,name,level,country_code,province_code,parent_slug,governance_type,partisan,district_term,role_label_singular,role_label_plural,expected_district_count,last_election,election_date_set,next_election,term_duration_years,governance_summary,boundary_file,boundary_district_id_column
ca_on_hamilton,Hamilton,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,15,2022-10-24,true,2026-10-26,4,"Hamilton voters elect a mayor and 15 city councillors who together form the 16-member city council. The mayor is elected city-wide; each councillor represents one of 15 wards. Elections are held every four years under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",ward-boundaries.geojson,WARD
ca_on_brampton,Brampton,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,10,2022-10-24,true,2026-10-26,4,"Brampton voters elect a Mayor and councillors across 10 wards that form the city's elected council. The 10 wards are grouped into 5 pairs; each ward pair elects one City Councillor and one Regional Councillor (who sits on Peel Regional Council), for a total of 10 councillors. The Mayor is elected city-wide.",ward_boundaries.geojson,WARD
ca_on_toronto,Toronto,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,25,2022-10-24,true,2026-10-26,4,"Toronto voters elect a Mayor city-wide and one Councillor per ward across 25 wards, together forming the 26-member Toronto City Council. The council structure is established under the City of Toronto Act, 2006, which provides Toronto with a strong-mayor framework alongside the ward-elected council. Municipal elections are held every four years on the fourth Monday in October under the Municipal Elections Act, 1996.",city-wards-data-4326.geojson,AREA_SHORT_CODE
ca_on_ottawa,Ottawa,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,24,2022-10-24,true,2026-10-26,4,"Ottawa voters elect a Mayor city-wide and 24 ward councillors, one per ward, who together form the 25-member Ottawa City Council. Council operates on a non-partisan basis under Ontario's Municipal Elections Act, with elections held every four years on the last Monday of October.",wards_2022_2026.geojson,WARD
ca_on_mississauga,Mississauga,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,11,2022-10-24,true,2026-10-26,4,Mississauga voters elect a mayor and 11 city councillors who together form the 12-member City Council. The mayor is elected city-wide; each councillor represents one of 11 wards. Elections are held every four years under Ontario's Municipal Elections Act.,ward_boundaries.geojson,WARD
ca_on_barrie,Barrie,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,10,2022-10-24,true,2026-10-26,4,"Barrie voters elect a Mayor city-wide and one Councillor per ward across 10 wards, together forming the 11-member Barrie City Council. Council operates on a non-partisan basis under Ontario's Municipal Elections Act, with elections held every four years on the fourth Monday in October, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",wards.geojson,WARD_NO
ca_on_brantford,Brantford,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,5,2022-10-24,true,2026-10-26,4,"Brantford voters elect a Mayor city-wide and two Councillors per ward across five wards, together forming the 11-member Brantford City Council. Each of the five wards elects two councillors, for a total of 10 ward councillors alongside the Mayor. Council operates on a non-partisan basis under Ontario's Municipal Elections Act, with elections held every four years, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",wards.geojson,WARD_NAME
ca_on_brant,County of Brant,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,5,2022-10-24,true,2026-10-26,4,"The County of Brant is divided into five wards, each represented by two elected councillors, together with a Mayor elected county-wide forming an 11-member council. Elections are held every four years under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",ward_boundaries.geojson,WARD
ca_on,Ontario,provincial,CA,ON,,ward_based,true,Riding,MPP,MPPs,124,2025-02-27,true,2029-10-04,4,"Ontario voters elect 124 Members of Provincial Parliament (MPPs), each representing one of 124 provincial electoral districts, who together form the Legislative Assembly of Ontario. The Premier leads the government and is supported by a cabinet of ministers; the current 44th Parliament, elected on February 27, 2025, holds 42 role-scoped cabinet positions including the Premier, Deputy Premier, and ministers.",ELECTORAL_DISTRICT.shp,ENGLISH_NA
ca_federal,Canada,federal,CA,,,ward_based,true,Riding,MP,MPs,343,2025-04-28,false,,4,"Canada is divided into 343 electoral districts (ridings), each electing one Member of Parliament by single-member plurality. The party or coalition commanding the confidence of the House of Commons forms the Government; its leader serves as Prime Minister. Federal elections are held on a fixed date (third Monday of October in the fourth calendar year after the previous election) under the Canada Elections Act, unless the House is dissolved earlier.",FED_CA_2025_EN.shp,ED_NAMEE
ca_on_guelph,Guelph,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,6,2022-10-24,true,2026-10-26,4,"Guelph voters elect a mayor city-wide and two councillors per ward across the city's six wards, together forming the 13-member Guelph City Council. Members of Council are elected to a four-year term of office under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",ward_boundaries.geojson,WARD
ca_on_chatham_kent,Chatham-Kent,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,6,2022-10-24,true,2026-10-26,4,"The Municipality of Chatham-Kent elects a mayor city-wide and 17 councillors across 6 wards, together forming an 18-member municipal council. Ward representation varies: some wards elect two councillors and others elect three, with councillors serving four-year terms under the Ontario Municipal Elections Act.",ward_boundaries.geojson,WARD_NO
ca_on_peterborough,Peterborough,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,5,2022-10-24,true,2026-10-26,4,"Peterborough voters elect a mayor and 10 city councillors who together form the 11-member city council. The mayor is elected city-wide; each of the city's five wards elects two councillors, with councillors serving four-year terms under Ontario's fixed municipal election cycle.",wards.geojson,WARDNAME
