REGISTERED JURISDICTIONS — high-level overview (generated 2026-09-10)
120 jurisdictions registered  |  Population figures: Statistics Canada 2021 Census

=== FEDERAL ===
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Canada,Federal,343,MPs,36991981,Ward / district-based,2025-04-28,TBD

=== PROVINCES & TERRITORIES ===
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Alberta,Provincial,87,Members of the Legislative Assembly,4262635,Ward / district-based,2023-05-29,2027-10-18
British Columbia,Provincial,93,MLAs,5000879,Ward / district-based,2024-10-19,2028-10-21
Manitoba,Provincial,57,MLAs,1342153,Ward / district-based,2023-10-03,2027-10-05
New Brunswick,Provincial,49,MLAs,775610,Ward / district-based,2024-10-21,2028-10-16
Newfoundland and Labrador,Provincial,40,MHAs,510550,Ward / district-based,2025-10-14,TBD
Northwest Territories,Territorial,19,Members of the Legislative Assembly,41070,Consensus (non-partisan),2023-11-14,2027-10-05
Nova Scotia,Provincial,56,MLAs,969383,Ward / district-based,2024-11-26,TBD
Nunavut,Territorial,22,MLAs,36858,Consensus (non-partisan),2025-10-27,2029-10-29
Ontario,Provincial,124,MPPs,14223942,Ward / district-based,2025-02-27,2029-10-04
Prince Edward Island,Provincial,27,MLAs,154331,Ward / district-based,2024-04-03,2027-10-04
Quebec,Provincial,125,Members of the National Assembly,8501833,Ward / district-based,2022-10-03,2026-10-05
Saskatchewan,Provincial,61,MLAs,1132505,Ward / district-based,2024-10-28,2028-10-30
Yukon,Territorial,21,Members of the Legislative Assembly,40232,Ward / district-based,2025-11-03,TBD

=== MUNICIPALITIES (grouped by province/territory) ===

-- Alberta (9 municipalities) --
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Airdrie,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
Calgary,Municipal,14,Councillors,1306784,Ward / district-based,2025-10-20,TBD
Edmonton,Municipal,12,Councillors,1010899,Ward / district-based,2025-10-20,2029-10-15
Grande Prairie,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
Lethbridge,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
Medicine Hat,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
Red Deer,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
St. Albert,Municipal,1,Councillors,,At-large,2025-10-20,2029-10-15
Strathcona County,Municipal,8,Councillors,,Ward / district-based,2025-10-20,2029-10-15

-- British Columbia (10 municipalities) --
