uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
0b881656-f6df-5641-bab2-8ca6435ea081,district,WARD 1,Ward 1,,Paul,Vicente,representative,Regional Councillor,,,,905.874.2601,paul.vicente@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Paul-Vicente,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorVicente.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Paul-Vicente,2026-05-23,paul-vicente
0b881656-f6df-5641-bab2-8ca6435ea081,district,WARD 5,Ward 5,,Paul,Vicente,representative,Regional Councillor,,,,905.874.2601,paul.vicente@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Paul-Vicente,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorVicente.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Paul-Vicente,2026-05-23,paul-vicente
a14342e9-9dee-5773-bcf3-a6b7a26f888a,district,WARD 1,Ward 1,,Rowena,Santos,representative,Regional Councillor,,,,905.874.2605,rowena.santos@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Rowena-Santos,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorSantos.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Rowena-Santos,2026-05-23,rowena-santos
a14342e9-9dee-5773-bcf3-a6b7a26f888a,district,WARD 5,Ward 5,,Rowena,Santos,representative,Regional Councillor,,,,905.874.2605,rowena.santos@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Rowena-Santos,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorSantos.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Rowena-Santos,2026-05-23,rowena-santos
f6813dd0-e90c-5331-9bd3-b68bd7eb4d4f,district,WARD 2,Ward 2,,Michael,Palleschi,representative,Regional Councillor,,,,905.874.2661,michael.palleschi@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Michael-Palleschi,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorPalleschi.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Michael-Palleschi,2026-05-23,michael-palleschi
f6813dd0-e90c-5331-9bd3-b68bd7eb4d4f,district,WARD 6,Ward 6,,Michael,Palleschi,representative,Regional Councillor,,,,905.874.2661,michael.palleschi@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Michael-Palleschi,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorPalleschi.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Michael-Palleschi,2026-05-23,michael-palleschi
5122b9ff-e101-56f7-98c0-7a2dccb23b43,district,WARD 2,Ward 2,,Navjit Kaur,Brar,representative,Regional Councillor,,,,905.874.2606,navjitkaur.brar@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Navjit-Kaur-Brar,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorBrar.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Navjit-Kaur-Brar,2026-05-23,navjit-kaur-brar
5122b9ff-e101-56f7-98c0-7a2dccb23b43,district,WARD 6,Ward 6,,Navjit Kaur,Brar,representative,Regional Councillor,,,,905.874.2606,navjitkaur.brar@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Navjit-Kaur-Brar,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorBrar.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Navjit-Kaur-Brar,2026-05-23,navjit-kaur-brar
9bb70e41-2eca-56b2-9207-28dcfc159487,district,WARD 3,Ward 3,,Martin,Medeiros,representative,Regional Councillor,,,,905.874.2634,martin.medeiros@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Martin-Medeiros,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorMedeiros.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Martin-Medeiros,2026-05-23,martin-medeiros
9bb70e41-2eca-56b2-9207-28dcfc159487,district,WARD 4,Ward 4,,Martin,Medeiros,representative,Regional Councillor,,,,905.874.2634,martin.medeiros@brampton.ca,https://www.brampton.ca/EN/City-Hall/Council-Office/Martin-Medeiros,https://www.brampton.ca/EN/City-Hall/Council-Office/PublishingImages/headshots/CouncillorMedeiros.jpg,https://www.brampton.ca/EN/City-Hall/Council-Office/Martin-Medeiros,2026-05-23,martin-medeiros
