uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
aff50c4d-d9a5-5996-8f59-2a4bc50bf3fa,district,District 1,District 1,,Mélanie,Dufresne,representative,Conseillère,,2025-11-02,,514 714-8410,https://sjsr.ca/conseil-municipal/melanie-dufresne/,https://sjsr.ca/conseil-municipal/melanie-dufresne/,https://sjsr.ca/wp-content/uploads/2026/02/melanie-dufresne-2.jpg,https://sjsr.ca/conseil-municipal/melanie-dufresne/,2026-06-19,melanie-dufresne
f49fe2ec-c875-54e4-ae1a-304b26ab5f8d,district,District 2,District 2,,Bruno,Santerre,representative,Conseiller,,2025-11-02,,514 349-4177,https://sjsr.ca/conseil-municipal/bruno-santerre/,https://sjsr.ca/conseil-municipal/bruno-santerre/,https://sjsr.ca/wp-content/uploads/2025/11/bruno-santerre.jpg,https://sjsr.ca/conseil-municipal/bruno-santerre/,2026-06-19,bruno-santerre
6b1befe2-4606-5fce-9e98-e93131fcd487,district,District 3,District 3,,Jérémie,Meunier,representative,Conseiller,,2025-11-02,,514 622-2806,https://sjsr.ca/conseil-municipal/jeremie-meunier/,https://sjsr.ca/conseil-municipal/jeremie-meunier/,https://sjsr.ca/wp-content/uploads/2026/02/jeremie-meunier-2.jpg,https://sjsr.ca/conseil-municipal/jeremie-meunier/,2026-06-19,jeremie-meunier
3ea63e64-8ef3-5dab-a54a-46f03ec2f938,district,District 4,District 4,,Louis,Boucher,representative,Conseiller,,2025-11-02,,514 433-2772,https://sjsr.ca/conseil-municipal/louis-boucher/,https://sjsr.ca/conseil-municipal/louis-boucher/,https://sjsr.ca/wp-content/uploads/2025/11/louis-boucher.jpg,https://sjsr.ca/conseil-municipal/louis-boucher/,2026-06-19,louis-boucher
d59cc949-3351-5b24-862c-d65426a4e22c,district,District 5,District 5,,Sébastien,Gaudette,representative,Conseiller,,2025-11-02,,438 832-7536,https://sjsr.ca/conseil-municipal/sebastien-gaudette/,https://sjsr.ca/conseil-municipal/sebastien-gaudette/,https://sjsr.ca/wp-content/uploads/2026/02/sebastien-gaudette-2.jpg,https://sjsr.ca/conseil-municipal/sebastien-gaudette/,2026-06-19,sebastien-gaudette
85459f98-b08b-5a70-8ac3-4dba9dcd8383,district,District 6,District 6,,Patricia,Poissant,representative,Conseillère,,2025-11-02,,514 916-3031,https://sjsr.ca/conseil-municipal/patricia-poissant/,https://sjsr.ca/conseil-municipal/patricia-poissant/,https://sjsr.ca/wp-content/uploads/2026/02/patricia-poissant-2.jpg,https://sjsr.ca/conseil-municipal/patricia-poissant/,2026-06-19,patricia-poissant
f5b77d71-fd4e-5947-83b3-2fddc8bedbb6,district,District 7,District 7,,Yvon,Godin,representative,Conseiller,,2025-11-02,,514 602-6968,https://sjsr.ca/conseil-municipal/yvon-godin/,https://sjsr.ca/conseil-municipal/yvon-godin/,https://sjsr.ca/wp-content/uploads/2026/02/yvon-godin-2.jpg,https://sjsr.ca/conseil-municipal/yvon-godin/,2026-06-19,yvon-godin
bd43b35e-573e-586a-95f8-c5d1fcf38821,district,District 8,District 8,,Marie,Tremblay,representative,Conseillère,,2025-11-02,,514 649-1325,https://sjsr.ca/conseil-municipal/marie-tremblay/,https://sjsr.ca/conseil-municipal/marie-tremblay/,https://sjsr.ca/wp-content/uploads/2025/11/marie-tremblay.jpg,https://sjsr.ca/conseil-municipal/marie-tremblay/,2026-06-19,marie-tremblay
685a48d5-9fce-5c9f-ab4d-1ff86c030128,district,District 9,District 9,,Daniel,Hacherel,representative,Conseiller,,2025-11-02,,514 349-6215,https://sjsr.ca/conseil-municipal/daniel-hacherel/,https://sjsr.ca/conseil-municipal/daniel-hacherel/,https://sjsr.ca/wp-content/uploads/2026/02/daniel-hacherel-2.jpg,https://sjsr.ca/conseil-municipal/daniel-hacherel/,2026-06-19,daniel-hacherel
29c72776-1ec9-5c1d-8848-ffa3d7e72359,district,District 10,District 10,,Ian,Langlois,representative,Conseiller,,2025-11-02,,514 441-4652,https://sjsr.ca/conseil-municipal/ian-langlois/,https://sjsr.ca/conseil-municipal/ian-langlois/,https://sjsr.ca/wp-content/uploads/2026/02/ian-langlois-2.jpg,https://sjsr.ca/conseil-municipal/ian-langlois/,2026-06-19,ian-langlois
70e4f088-0623-553e-9319-024a16b4fe64,district,District 11,District 11,,Claire,Charbonneau,representative,Conseillère,,2025-11-02,,514 887-3122,https://sjsr.ca/conseil-municipal/claire-charbonneau/,https://sjsr.ca/conseil-municipal/claire-charbonneau/,https://sjsr.ca/wp-content/uploads/2026/02/claire-charbonneau-2.jpg,https://sjsr.ca/conseil-municipal/claire-charbonneau/,2026-06-19,claire-charbonneau
70b0b7b1-fb7a-5454-8c1d-49aed0baedab,district,District 12,District 12,,Luko,Boisvert,representative,Conseiller,,2025-11-02,,438 476-9676,https://sjsr.ca/conseil-municipal/luko-boisvert/,https://sjsr.ca/conseil-municipal/luko-boisvert/,https://sjsr.ca/wp-content/uploads/2025/11/luko-boisvert.jpg,https://sjsr.ca/conseil-municipal/luko-boisvert/,2026-06-19,luko-boisvert
e63d981b-49aa-5614-967e-ce138613f6c9,role,,,,Éric,Latour,executive,Maire,Coalition Éric Latour,2025-11-02,,450 357-2095,https://sjsr.ca/mairie/joindre-le-maire/,https://sjsr.ca/maire/,https://sjsr.ca/wp-content/uploads/2026/02/eric-latour-2.jpg,https://sjsr.ca/conseil-municipal/,2026-06-19,eric-latour
