uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
2a934d6f-be43-5fc5-b1c2-2366beff8c5a,district,1,Ward 1,,Kim,Tyers,representative,Councillor,,2025-10-20,,403-268-2430,ward1@calgary.ca,https://www.calgary.ca/council/ward-1/warddefault.html,https://www.calgary.ca/council/ward-1/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761854153305/ward-01-kim-tyers.jpeg,https://www.calgary.ca/council/ward-1/warddefault.html,2026-05-31,kim-tyers
6af1a8cf-40c3-5009-afc2-6914d1c8521f,district,2,Ward 2,,Jennifer,Wyness,representative,Councillor,,2025-10-20,,403-268-2430,ward2@calgary.ca,https://www.calgary.ca/council/ward-2/warddefault.html,https://www.calgary.ca/content/dam/www/citycouncil/ward-2/publishingimages/23.png,https://www.calgary.ca/council/ward-2/warddefault.html,2026-05-31,jennifer-wyness
662d6055-3ccf-5ca3-8a3e-81901a69b254,district,3,Ward 3,,Andrew,Yule,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-3/warddefault.html,https://www.calgary.ca/council/ward-3/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1770757721372/ward-03-andrew-yule.jpeg,https://www.calgary.ca/council/ward-3/warddefault.html,2026-05-31,andrew-yule
0bae4432-eaa2-596c-a803-9ff32f445aeb,district,4,Ward 4,,DJ,Kelly,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-4/warddefault.html,https://www.calgary.ca/council/ward-4/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839118760/ward-04-dj-kelly.jpeg,https://www.calgary.ca/council/ward-4/warddefault.html,2026-05-31,dj-kelly
ed41fd34-4ca8-54de-b266-c9143bc989c7,district,5,Ward 5,,Raj,Dhaliwal,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-5/warddefault.html,https://www.calgary.ca/council/ward-5/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-aef4708e-ed55-45a6-8b4f-48c93834ff530/image_copy.img.jpeg/1635271526843/ward-05-dhaliwal.jpeg,https://www.calgary.ca/council/ward-5/warddefault.html,2026-05-31,raj-dhaliwal
4fdf4b9d-7d7a-5702-b652-588aa9428fd2,district,6,Ward 6,,John,Pantazopoulos,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-6/warddefault.html,https://www.calgary.ca/council/ward-6/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839644457/ward-06-john-pantazopoulos.jpeg,https://www.calgary.ca/council/ward-6/warddefault.html,2026-05-31,john-pantazopoulos
ba66b505-bf28-5598-aa8e-b4b54a4604cc,district,7,Ward 7,,Myke,Atkinson,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-7/warddefault.html,https://www.calgary.ca/council/ward-7/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839254978/ward-07-myke-atkinson.jpeg,https://www.calgary.ca/council/ward-7/warddefault.html,2026-05-31,myke-atkinson
a14b809d-6a5b-50eb-987d-c2f0a8196172,district,8,Ward 8,,Nathaniel,Schmidt,representative,Councillor,,2025-10-20,,,ward8@calgary.ca,https://www.calgary.ca/council/ward-8/warddefault.html,https://www.calgary.ca/council/ward-8/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839085841/ward-08-nathaniel-schmidt.jpeg,https://www.calgary.ca/council/ward-8/warddefault.html,2026-05-31,nathaniel-schmidt
201f240f-8835-538f-a1f7-bc29a71aace5,district,9,Ward 9,,Harrison,Clark,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-9/warddefault.html,https://www.calgary.ca/council/ward-9/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839012852/ward-09-harrison-clark.jpeg,https://www.calgary.ca/council/ward-9/warddefault.html,2026-05-31,harrison-clark
d630101a-695d-5f22-ad9f-3ac334a65e85,district,10,Ward 10,,Andre,Chabot,representative,Councillor,,2025-10-20,,403-268-2430,ward10@calgary.ca,https://www.calgary.ca/council/ward-10/warddefault.html,https://www.calgary.ca/council/ward-10/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy_c/responsivegridA/grid_layout/column-aef4708e-ed55-45a6-8b4f-48c93834ff530/image_copy.img.jpeg/1635269724722/ward-10-chabot.jpeg,https://www.calgary.ca/council/ward-10/warddefault.html,2026-05-31,andre-chabot
5e780400-a9b5-5588-832e-98c6d9e2d7dd,district,11,Ward 11,,Rob,Ward,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-11/warddefault.html,https://www.calgary.ca/council/ward-11/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761839054298/ward-11-rob-ward.jpeg,https://www.calgary.ca/council/ward-11/warddefault.html,2026-05-31,rob-ward
1979dd8e-9907-50e0-8c3a-bfa945a7f594,district,12,Ward 12,,Mike,Jamieson,representative,Councillor,,2025-10-20,,403-262-1000,ward12@calgary.ca,https://www.calgary.ca/council/ward-12/warddefault.html,https://www.calgary.ca/council/ward-12/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/image.img.png/1765815341847/bannerrrr--4-.png,https://www.calgary.ca/council/ward-12/warddefault.html,2026-05-31,mike-jamieson
983bf464-c4da-5777-846e-b68af0471202,district,13,Ward 13,,Dan,McLean,representative,Councillor,,2025-10-20,,403-268-2290,ward13@calgary.ca,https://www.calgary.ca/council/ward-13/warddefault.html,https://www.calgary.ca/council/ward-13/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-aef4708e-ed55-45a6-8b4f-48c93834ff530/image_copy.img.jpeg/1769640256606/ward-13-dan-mclean.jpeg,https://www.calgary.ca/council/ward-13/warddefault.html,2026-05-31,dan-mclean
4d5ba9ee-5669-5aa7-901a-03c64ffc6545,district,14,Ward 14,,Landon,Johnston,representative,Councillor,,2025-10-20,,,,https://www.calgary.ca/council/ward-14/warddefault.html,https://www.calgary.ca/council/ward-14/warddefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761840768497/ward-14-landon-johnston.jpeg,https://www.calgary.ca/council/ward-14/warddefault.html,2026-05-31,landon-johnston
12c57528-6581-5047-b134-7fc4d68919d4,role,,,,Jeromy,Farkas,executive,Mayor,,2025-10-20,2029-10-20,,,https://www.calgary.ca/council/mayor/mayordefault.html,https://www.calgary.ca/council/mayor/mayordefault/_jcr_content/root/maincontentpar/responsivegrid/grid/column-0-r0/content_block_copy/responsivegridA/grid_layout/column-5903aef0-7959-463f-9234-9042f659fd550/image.img.jpeg/1761838869196/mayor-jeromy-farkas.jpeg,https://www.calgary.ca/council/mayor/mayordefault.html,2026-05-31,jeromy-farkas
