uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
0aa19ab0-284c-5334-8bf6-6c0fca5ebd51,district,1,Old Kildonan,,Devi,Sharma,representative,Councillor,,2022-10-26,,204-986-5264,devi@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/old-kildonan,https://www.winnipeg.ca/sites/default/files/styles/large/public/2025-10/Councillor-Devi-Sharma-2014_0.jpg?itok=a46BFlUo,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,devi-sharma
af352479-7fb7-50af-8f7c-6eb0a00669ee,district,2,Mynarski,,Ross,Eadie,representative,Councillor,,2022-10-26,,204-986-5188,readie@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/mynarski,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/eadie3.jpg?itok=w4fjRe4I,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,ross-eadie
3e03d378-0ac0-592b-88c4-51387bd1e0bd,district,3,Point Douglas,,Vivian,Santos,representative,Councillor,,2022-10-26,,204-986-8401,vsantos@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/point-douglas,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/santos2.jpg?itok=deOzyqxr,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,vivian-santos
86604fd0-9d8b-5633-bda6-074594fd6adb,district,4,Daniel McIntyre,,Cindy,Gilroy,representative,Councillor,,2022-10-26,,204-986-5951,cgilroy@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/daniel-mcintyre,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/gilroy4.jpg?itok=TKfSuzix,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,cindy-gilroy
5632caf3-8c41-5357-827f-03cb966d6ab4,district,5,St. James,,Shawn,Dobson,representative,Councillor,,2022-10-26,,204-986-5848,sdobson@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/st-james,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/dobson3.jpg?itok=wgCsK6_v,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,shawn-dobson
4b4e9687-a9a6-57a8-ba72-f18844175c25,district,6,Waverley West,,Janice,Lukes,representative,Councillor,,2022-10-26,,204-986-6824,jlukes@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/waverley-west,https://www.winnipeg.ca/sites/default/files/styles/large/public/2025-10/lukes5.jpg?itok=Y2hOzUyK,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,janice-lukes
669feb91-50d1-5ee7-b377-13e5803f5386,district,7,Charleswood - Tuxedo - Westwood,,Evan,Duncan,representative,Councillor,,2022-10-26,,204-986-5232,eduncan@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/charleswood-tuxedo-westwood,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/duncan.jpg?itok=-XicPgS1,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,evan-duncan
9851e651-3999-5c61-b2cd-376d13902380,district,8,River Heights - Fort Garry,,John,Orlikow,representative,Councillor,,2022-10-26,,204-986-5236,jorlikow@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/river-heights-fort-garry,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/orlikow3.jpg?itok=KQd-655Z,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,john-orlikow
3481ab3a-1f9e-5223-8134-65d75268dd94,district,9,Fort Rouge - East Fort Garry,,Sherri,Rollins,representative,Councillor,,2022-10-26,,204-986-5878,srollins@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/fort-rouge-east-fort-garry,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/rollins2.jpg?itok=yDk9douR,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,sherri-rollins
24516c95-dbce-508e-b857-07bfd10d1227,district,10,St. Norbert - Seine River,,Markus,Chambers,representative,Councillor,,2022-10-26,,204-986-5920,markuschambers@winnipeg.ca,https://www.winnipeg.ca/city-governance/mayor-council/council-members/st-norbert-seine-river,https://www.winnipeg.ca/sites/default/files/styles/large/public/2023-02/chambers.png?itok=166645Tu,https://www.winnipeg.ca/city-governance/mayor-council/council-members,2026-06-03,markus-chambers
