uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
de68ba5f-ea1e-51cb-8564-6cded15a5ee3,district,Ward 1,Ward 1,,Kathryn,MacDonald,representative,Councillor,,,,306-975-3671,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-1,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Kathryn%20MacDonald%20%28Jan%202025%29%20Edited%20for%20Website_1.png,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-1,2026-06-16,kathryn-macdonald
0f0ced04-b598-54ba-8f6f-68e1e4afa004,district,Ward 2,Ward 2,,Senos,Timon,representative,Councillor,,,,306-975-3672,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-2,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Senos%20Timon%20%28Jan%202025%29%20Small%20Website.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-2,2026-06-16,senos-timon
57b32606-0260-5aa6-bd75-2feb39f48ccd,district,Ward 3,Ward 3,,Robert,Pearce,representative,Councillor,,,,306-975-3673,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-3,https://www.saskatoon.ca/sites/default/files/councillors/Robert%20Pearce_Headshot%20-%20edit%20for%20website.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-3,2026-06-16,robert-pearce
0455ea62-ae81-5842-a65d-9e7ade8128f6,district,Ward 4,Ward 4,,Troy,Davies,representative,Councillor,,,,306-975-3674,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-4,https://www.saskatoon.ca/sites/default/files/councillors/Davies_Edited_0.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-4,2026-06-16,troy-davies
84e6d77c-e49d-595f-aafa-4d0645d025da,district,Ward 5,Ward 5,,Randy,Donauer,representative,Councillor,,,,306-975-3675,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-5,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Randy%20Donauer%20%28Jan%202025%29%20Edited%20for%20Website.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-5,2026-06-16,randy-donauer
225dc062-434d-5439-8419-d6cc1a120dc7,district,Ward 6,Ward 6,,Jasmin,Parker,representative,Councillor,,,,306-975-3676,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-6,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Jasmin%20Parker%20%28Jan%202025%29%20Edited%20for%20Website_0.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-6,2026-06-16,jasmin-parker
4459b944-febf-5a55-b4a9-bf02934a14ad,district,Ward 7,Ward 7,,Holly,Kelleher,representative,Councillor,,,,306-975-3677,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-7,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Holly%20Kelleher%20%28Jan%202025%29%20Edited%20for%20Website_0.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-7,2026-06-16,holly-kelleher
97bdc4f6-c50e-57b6-b4bd-41f6ae100823,district,Ward 8,Ward 8,,Scott,Ford,representative,Councillor,,,,306-975-3678,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-8,https://www.saskatoon.ca/sites/default/files/councillors/Scott%20Ford_Headshot%20-%20Edited%20for%20website_0.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-8,2026-06-16,scott-ford
a86a7f26-80dc-52e8-bfb4-64e1446671ed,district,Ward 9,Ward 9,,Bev,Dubois,representative,Councillor,,,,306-975-3679,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-9,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Bev%20Dubois%20%28Jan%202025%29%20Edited%20for%20Website_0.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-9,2026-06-16,bev-dubois
d2660579-8e79-55ad-bbec-3372f0fd182a,district,Ward 10,Ward 10,,Zach,Jeffries,representative,Councillor,,,,306-975-3680,https://www.saskatoon.ca/online-services/575859,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-10,https://www.saskatoon.ca/sites/default/files/councillors/Corporate%20Photo_Zach%20Jeffries%20%28Jan%202025%29%20Edited%20for%20Website.jpg,https://www.saskatoon.ca/city-hall/mayor-city-councillors/city-councillors-wards/ward-10,2026-06-16,zach-jeffries
98690ecd-093a-5477-95ca-64754601d837,role,,,,Cynthia,Block,executive,Mayor,,,,306-975-3202,https://www.saskatoon.ca/online-services/1276034,https://www.saskatoon.ca/city-hall/mayor-city-councillors/mayors-office,,https://www.saskatoon.ca/city-hall/mayor-city-councillors/mayors-office,2026-06-16,cynthia-block
