uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
619de905-fc7e-5bd0-b879-fb5f576e9f00,district,1,Cap-aux-Diamants,,Mélissa,Coulombe-Leduc,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3504,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/melissa-coulombe-leduc.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-melissa-coulombe-leduc.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/melissa-coulombe-leduc.aspx,2026-06-04,melissa-coulombe-leduc
f2f0e718-f499-5e55-b72a-94eb620b7903,district,2,Montcalm–Saint-Sacrement,,Catherine,Vallières-Roland,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3504,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/catherine-vallieres-roland.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-catherine-vallieres-roland.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/catherine-vallieres-roland.aspx,2026-06-04,catherine-vallieres-roland
77ea2a36-07db-57ce-a188-060dabdfd3de,district,3,Saint-Roch–Saint-Sauveur,,Elainie,Lepage,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3504,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/elainie-lepage.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-elainie-lepage.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/elainie-lepage.aspx,2026-06-04,elainie-lepage
a65fdc98-cf3b-5081-8930-d37894671455,district,4,Limoilou,,Raymond,Poirier,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3504,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/raymond-poirier.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-raymond-poirier.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/raymond-poirier.aspx,2026-06-04,raymond-poirier
d3fb7c1c-58b6-58dd-9b42-2a074fb4c50e,district,5,Maizerets–Lairet,,Marylou,Boulianne,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3504,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/marylou-boulianne.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-marylou-boulianne.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/marylou-boulianne.aspx,2026-06-04,marylou-boulianne
8d8d59d7-9ff9-56ad-b092-94d6bf61381a,district,6,Vanier–Duberger,,Clément,Bourdeau,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3271,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/clement-bourdeau.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-clement-bourdeau.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/clement-bourdeau.aspx,2026-06-04,clement-bourdeau
1b213bf0-0bd9-5236-8ca7-898663024e44,district,7,Neufchâtel–Lebourgneuf,,Maxime,Elmaleh,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3271,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/maxime-elmaleh.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-maxime-elmaleh.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/maxime-elmaleh.aspx,2026-06-04,maxime-elmaleh
83871733-c02f-5c9d-82ba-749cfaa457f5,district,8,Les Saules–Les Méandres,,Catherine,Deschamps,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3271,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/catherine-deschamps.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-catherine-deschamps.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/catherine-deschamps.aspx,2026-06-04,catherine-deschamps
8d5397ac-8eea-5b9f-aa16-0f242b5f8bfe,district,9,Saint-Louis-Sillery,,Marianne,White,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3271,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/marianne-white.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-marianne-white.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/marianne-white.aspx,2026-06-04,marianne-white
be8abbac-dad6-51d5-b2eb-1abb49d3abe8,district,10,Le Plateau,,Gabriel,Dusablon,representative,Conseiller,Québec forte et fière,2025-11-02,,418 641-6411 poste 3271,,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/gabriel-dusablon.aspx,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/img/ph-gabriiel-dusablon.jpg,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/biographie/gabriel-dusablon.aspx,2026-06-04,gabriel-dusablon
