uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
89e6ec1b-75c1-5813-8e4f-f715c51a87df,district,Agassiz,Agassiz,,Jodie,Byram,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 390-5428,Jodie.byram@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/byram.html,https://www.gov.mb.ca/legislature/img/mla/byram.jpg,https://www.gov.mb.ca/legislature/members/info/byram.html,2026-06-04,jodie-byram
6fff3a32-22bc-5605-8fa0-873adcb6afde,district,Assiniboia,Assiniboia,Hon.,Nellie,Kennedy,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 888-3188,Nellie.Kennedy@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/kennedy.html,https://www.gov.mb.ca/legislature/img/mla/kennedy.jpg,https://www.gov.mb.ca/legislature/members/info/kennedy.html,2026-06-04,nellie-kennedy
0c77d4f0-a671-5070-8676-e462a25a76d7,district,Borderland,Borderland,,Josh,Guenter,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 324-8957,Josh.Guenter@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/guenter.html,https://www.gov.mb.ca/legislature/img/mla/guenter.jpg,https://www.gov.mb.ca/legislature/members/info/guenter.html,2026-06-04,josh-guenter
83a1f6ee-4cba-5462-9538-96e1072b52f4,district,Brandon East,Brandon East,Hon.,Glen,Simard,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 717-1799,Glen.Simard@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/simard.html,https://www.gov.mb.ca/legislature/img/mla/simard.jpg,https://www.gov.mb.ca/legislature/members/info/simard.html,2026-06-04,glen-simard
c29e560f-50cb-54f4-848a-921a275e2ff0,district,Brandon West,Brandon West,,Wayne,Balcaen,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 717-6777,wayne.balcaen@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/balcaen.html,https://www.gov.mb.ca/legislature/img/mla/balcaen.jpg,https://www.gov.mb.ca/legislature/members/info/balcaen.html,2026-06-04,wayne-balcaen
2d1cc09b-797e-557b-a856-06021b58450b,district,Burrows,Burrows,,Diljeet,Brar,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 415-7621,Diljeet.Brar@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/brar.html,https://www.gov.mb.ca/legislature/img/mla/brar.jpg,https://www.gov.mb.ca/legislature/members/info/brar.html,2026-06-04,diljeet-brar
d68dd725-ebfb-5ec9-aac8-c216a07101e5,district,Concordia,Concordia,Hon.,Matt,Wiebe,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 654-1857,matt.wiebe@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/wiebe.html,https://www.gov.mb.ca/legislature/img/mla/wiebe.jpg,https://www.gov.mb.ca/legislature/members/info/wiebe.html,2026-06-04,matt-wiebe
4d670ea8-5fee-5078-84d0-721056e55b18,district,Dauphin,Dauphin,Hon.,Ron,Kostyshyn,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 638-1672,ron.kostyshyn@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/kostyshyn.html,https://www.gov.mb.ca/legislature/img/mla/kostyshyn.jpg,https://www.gov.mb.ca/legislature/members/info/kostyshyn.html,2026-06-04,ron-kostyshyn
c0b48688-3d01-5855-b9ed-27889a3b898d,district,Dawson Trail,Dawson Trail,,Bob,Lagassé,representative,Member of the Legislative Assembly,,,,(204) 807-4663,bob.lagasse@boblagasse.ca,https://www.gov.mb.ca/legislature/members/info/lagasse.html,https://www.gov.mb.ca/legislature/img/mla/lagasse.jpg,https://www.gov.mb.ca/legislature/members/info/lagasse.html,2026-06-04,bob-lagasse
46c0da33-b26b-5cfd-ab7c-a7163f2ad13e,district,Elmwood,Elmwood,,Jim,Maloway,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 415-1122,Jim.Maloway@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/maloway.html,https://www.gov.mb.ca/legislature/img/mla/maloway.jpg,https://www.gov.mb.ca/legislature/members/info/maloway.html,2026-06-04,jim-maloway
7b220fc2-d058-57af-a0c4-b2e14fad7b96,district,Flin Flon,Flin Flon,Hon.,Tom,Lindsey,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 687-3246,tom.lindsey@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/lindsey.html,https://www.gov.mb.ca/legislature/img/mla/lindsey.jpg,https://www.gov.mb.ca/legislature/members/info/lindsey.html,2026-06-04,tom-lindsey
4a2d2218-46b6-56bd-aed0-743b6f578d31,district,Fort Garry,Fort Garry,,Mark,Wasyliw,representative,Member of the Legislative Assembly,,,,(204) 421-4241,Mark@markwasyliwmla.ca,https://www.gov.mb.ca/legislature/members/info/wasyliw.html,https://www.gov.mb.ca/legislature/img/mla/wasyliw.jpg,https://www.gov.mb.ca/legislature/members/info/wasyliw.html,2026-06-04,mark-wasyliw
939370d8-afbe-5d57-9f54-777cefd4bb40,district,Fort Richmond,Fort Richmond,,Jennifer,Chen,representative,Member of the Legislative Assembly,New Democratic Party,,,(431) 294-9854,Jennifer.Chen@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/chen.html,https://www.gov.mb.ca/legislature/img/mla/chen.jpg,https://www.gov.mb.ca/legislature/members/info/chen.html,2026-06-04,jennifer-chen
75f10608-d1cb-52f5-89c2-dc3e3931ba46,district,Fort Rouge,Fort Rouge,Hon.,Wab,Kinew,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 615-1922,wab.kinew@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/kinew.html,https://www.gov.mb.ca/legislature/img/mla/kinew.jpg,https://www.gov.mb.ca/legislature/members/info/kinew.html,2026-06-04,wab-kinew
aa3e19ee-2b2b-523c-8635-b594256f2591,district,Fort Whyte,Fort Whyte,,Obby,Khan,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 691-0720,obby.khan@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/khan.html,https://www.gov.mb.ca/legislature/img/mla/khan.jpg,https://www.gov.mb.ca/legislature/members/info/khan.html,2026-06-04,obby-khan
6bbb46c7-5fff-57a6-aa71-2ee279225ef2,district,Interlake-Gimli,Interlake-Gimli,,Derek,Johnson,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 641-8525,derek.johnson@leg.gov.mb.ca,https://www.gov.mb.ca/legislature/members/info/johnson.html,https://www.gov.mb.ca/legislature/img/mla/johnson.jpg,https://www.gov.mb.ca/legislature/members/info/johnson.html,2026-06-04,derek-johnson
b1307d0f-2bc1-5103-afe0-e1a55051a95b,district,Keewatinook,Keewatinook,Hon.,Ian,Bushie,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 792-8740,ian.bushie@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/bushie.html,https://www.gov.mb.ca/legislature/img/mla/bushie.jpg,https://www.gov.mb.ca/legislature/members/info/bushie.html,2026-06-04,ian-bushie
a6940b2e-04bf-59d3-8ebf-d9964506271f,district,Kildonan-River East,Kildonan-River East,,Rachelle,Schott,representative,Member of the Legislative Assembly,New Democratic Party,,,(431) 478-1667,Rachelle.Schott@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/schott.html,https://www.gov.mb.ca/legislature/img/mla/schott.jpg,https://www.gov.mb.ca/legislature/members/info/schott.html,2026-06-04,rachelle-schott
a43b1d1b-2850-5000-9093-41cc4eb19c6e,district,Kirkfield Park,Kirkfield Park,,Logan,Oxenham,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 831-6689,Logan.Oxenham@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/oxenham.html,https://www.gov.mb.ca/legislature/img/mla/oxenham.jpg,https://www.gov.mb.ca/legislature/members/info/oxenham.html,2026-06-04,logan-oxenham
4ab2f14e-42ac-5b03-baa9-8310ebb6bc28,district,La Vérendrye,La Vérendrye,,Konrad,Narth,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 434-6736,konrad.narth@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/narth.html,https://www.gov.mb.ca/legislature/img/mla/narth.jpg,https://www.gov.mb.ca/legislature/members/info/narth.html,2026-06-04,konrad-narth
983f29bd-4b04-5d02-9482-8c990f7c87b1,district,Lac du Bonnet,Lac du Bonnet,,Wayne,Ewasko,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 268-3282,wayne.ewasko@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/ewasko.html,https://www.gov.mb.ca/legislature/img/mla/ewasko.jpg,https://www.gov.mb.ca/legislature/members/info/ewasko.html,2026-06-04,wayne-ewasko
39dabd2a-f5e0-55f8-8925-6b0d38226dc6,district,Lagimodière,Lagimodière,,Tyler,Blashko,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 583-7423,Tyler.Blashko@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/blashko.html,https://www.gov.mb.ca/legislature/img/mla/blashko.jpg,https://www.gov.mb.ca/legislature/members/info/blashko.html,2026-06-04,tyler-blashko
dd2c8691-fc2b-52a1-818d-1b2726fc907b,district,Lakeside,Lakeside,,Trevor,King,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 467-1998,Trevor.King@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/king.html,https://www.gov.mb.ca/legislature/img/mla/king.jpg,https://www.gov.mb.ca/legislature/members/info/king.html,2026-06-04,trevor-king
0de8688c-87a3-5eda-8cc0-2a3553df2a5d,district,McPhillips,McPhillips,,Jasdeep,Devgan,representative,Member of the Legislative Assembly,New Democratic Party,,,(431) 323-6014,JD.Devgan@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/devgan.html,https://www.gov.mb.ca/legislature/img/mla/devgan.jpg,https://www.gov.mb.ca/legislature/members/info/devgan.html,2026-06-04,jasdeep-devgan
7fdc10be-e930-543e-8a33-506540096f54,district,Midland,Midland,,Lauren,Stone,representative,Member of the Legislative Assembly,Progressive Conservative,,,(431) 323-2968,lauren.stone@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/stone.html,https://www.gov.mb.ca/legislature/img/mla/stone.jpg,https://www.gov.mb.ca/legislature/members/info/stone.html,2026-06-04,lauren-stone
945d60df-d787-5099-9353-9d8dedfc7141,district,Morden-Winkler,Morden-Winkler,,Carrie,Hiebert,representative,Member of the Legislative Assembly,Progressive Conservative,,,(204) 325-7834,carrie.hiebert@strongermanitoba.ca,https://www.gov.mb.ca/legislature/members/info/hiebert.html,https://www.gov.mb.ca/legislature/img/mla/hiebert.jpg,https://www.gov.mb.ca/legislature/members/info/hiebert.html,2026-06-04,carrie-hiebert
93ddfdc0-1585-5443-b77b-8e2442cdda1e,district,Notre Dame,Notre Dame,Hon.,Malaya,Marcelino,representative,Member of the Legislative Assembly,New Democratic Party,,,(204) 788-0800,malaya.marcelino@yourmanitoba.ca,https://www.gov.mb.ca/legislature/members/info/marcelino.html,https://www.gov.mb.ca/legislature/img/mla/marcelino.jpg,https://www.gov.mb.ca/legislature/members/info/marcelino.html,2026-06-04,malaya-marcelino
