uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
5f1eca86-503e-5d4c-82bd-c46d4421ab5f,district,District 1,District 1,,Karie-Ann,Parsons-Saltzman,representative,Councillor,,,,902-824-1112,https://annapoliscounty.ca/karie-ann-parsons-saltzman,https://annapoliscounty.ca/karie-ann-parsons-saltzman,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Karie-Ann%20Parsons-Saltzman.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,karie-ann-parsons-saltzman
5d87871f-436d-5711-9085-eb9b1ba0767f,district,District 2,District 2,,Jesse,Hare,representative,Councillor,,,,902-825-9372,https://annapoliscounty.ca/jesse-hare,https://annapoliscounty.ca/jesse-hare,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Jesse%20Hare.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,jesse-hare
6527057a-19e6-5df5-b987-fbdbb555aed9,district,District 3,District 3,,Dustin,Enslow,representative,Councillor,,,,902-824-0171,https://annapoliscounty.ca/dustin-enslow,https://annapoliscounty.ca/dustin-enslow,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Deputy%20Warden%20Dustin%20Enslow.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,dustin-enslow
1803f9ee-9ed0-5665-ba7f-1309b5e034fd,district,District 4,District 4,,Charles,Cranton,representative,Councillor,,,,902-247-5323,https://annapoliscounty.ca/charles-chuck-cranton,https://annapoliscounty.ca/charles-chuck-cranton,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Charles%20Cranton.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,charles-cranton
eb60147c-3e01-5da3-8be6-40e5613e0d82,district,District 5,District 5,,Lynn,Longmire,representative,Councillor,,,,902-532-8533,https://annapoliscounty.ca/lynn-longmire,https://annapoliscounty.ca/lynn-longmire,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Lynn%20Longmire.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,lynn-longmire
c783a45d-fe29-523f-8047-279ac5b8cc73,district,District 6,District 6,,Jonathan,Welch,representative,Councillor,,,,902-250-0120,https://annapoliscounty.ca/jonathan-welch,https://annapoliscounty.ca/jonathan-welch,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Jonathan%20Welch.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,jonathan-welch
50a5ecb6-e180-5c2a-a869-aeacfb7a98b8,district,District 7,District 7,,Ted,Agombar,representative,Councillor,,,,902-665-4890,https://annapoliscounty.ca/ted-agombar,https://annapoliscounty.ca/ted-agombar,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20%20Ted%20Agombar.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,ted-agombar
61249e9d-c62f-5176-8773-09a0afe4a436,district,District 8,District 8,,Nile,Harding,representative,Councillor,,,,902-955-0776,https://annapoliscounty.ca/nile-harding,https://annapoliscounty.ca/nile-harding,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Nile%20Harding.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,nile-harding
2ba94848-9d26-566a-86cc-09ffe130cd1b,district,District 9,District 9,,Gail,Oxner,representative,Councillor,,,,902-825-9998,https://annapoliscounty.ca/gail-gidget-oxner,https://annapoliscounty.ca/gail-gidget-oxner,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20%20Gail%20Oxner.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,gail-oxner
f5300747-ef6e-5ef1-ba8d-57507df3bd0b,district,District 10,District 10,,Brian,Connell,representative,Councillor,,,,902-825-8412,https://annapoliscounty.ca/brian-fuzzy-connell,https://annapoliscounty.ca/brian-fuzzy-connell,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Councillor%20Brian%20Connell.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,brian-connell
88e55b38-b8a5-5ed8-9c81-6946f8a3ceb0,district,District 11,District 11,,Diane,LeBlanc,representative,Councillor,,,,902-765-2403,https://annapoliscounty.ca/diane-leblanc,https://annapoliscounty.ca/diane-leblanc,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Warden%20Diane%20LeBlanc.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,diane-leblanc
88e55b38-b8a5-5ed8-9c81-6946f8a3ceb0,role,,,,Diane,LeBlanc,executive,Warden,,,,902-765-2403,https://annapoliscounty.ca/diane-leblanc,https://annapoliscounty.ca/diane-leblanc,https://annapoliscounty.ca/images/2024-2028-Council-Photos/Warden%20Diane%20LeBlanc.jpg,https://annapoliscounty.ca/council/meet-your-council,2026-06-14,diane-leblanc-2
