uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
4cbe744d-fbe5-5bc8-84a7-2d566b99570b,district,Ward 1,Ward 1,,Michael,Sullivan,representative,Councillor,,,,519-732-1901,MichaelSullivan@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Michael_Sullivan_Ward_1_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,michael-sullivan
6d8e85e1-8188-5844-9299-f8afb00181b8,district,Ward 1,Ward 1,,Rose,Sicoli,representative,Councillor,,,,226-388-1623,RSicoli@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/RoseSicoli-2024.jpg,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,rose-sicoli
bb2641b1-0dc3-54b3-9958-e4961177659f,district,Ward 2,Ward 2,,John,Sless,representative,Councillor,,,,226-387-3714,johnsless@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/John_Sless_Ward2_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,john-sless
86fb18e1-a2dc-5ada-ba64-4eae1c726fed,district,Ward 2,Ward 2,,Gino,Caputo,representative,Councillor,,,,226-388-3421,GinoCaputo@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Gino_Caputo_Ward_2_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,gino-caputo
fff9cc1d-3b36-5d0d-a859-8de320fa2833,district,Ward 3,Ward 3,,Greg,Martin,representative,Councillor,,,,519-754-7269,gregmartin@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Greg_Martin_Ward_3_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,greg-martin
4db76d1e-ffe5-5b90-82bc-99d8ba3a6866,district,Ward 3,Ward 3,,Dan,McCreary,representative,Councillor,,,,519-761-2439,danmccreary@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Dan_McCreary_Ward_3_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,dan-mccreary
098ffe0b-7ef4-5102-af32-15d1e0ad5413,district,Ward 4,Ward 4,,Linda,Hunt,representative,Councillor,,,,548-328-0931,LindaHunt@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Linda_Hunt_Ward_5_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,linda-hunt
8bac3141-3bf3-539c-9f9c-b8f65bbfa676,district,Ward 4,Ward 4,,Richard,Carpenter,representative,Councillor,,,,519-770-6027,richardcarpenter@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Richard_Carpenter_Ward_4_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,richard-carpenter
61f43d45-096b-5b74-8387-73c8dc54a564,district,Ward 5,Ward 5,,Brian,Van Tilborg,representative,Councillor,,,,226-387-4964,brianvantilborg@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Brian_VanTilborg_Ward5_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,brian-van-tilborg
7fcd6927-d1fd-5e40-b644-8c8314013f8b,district,Ward 5,Ward 5,,Mandy,Samwell,representative,Councillor,,,,226-387-9717,MandySamwell@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/Mandy_Samwell_Ward_5_2022-2026.png,https://www.brantford.ca/en/your-government/city-council.aspx,2026-05-28,mandy-samwell
7a8b498d-6f6d-5f39-ada8-84dd4bc0f85a,role,,,,Kevin,Davis,executive,Mayor,,2022-10-24,,519-759-4150,officeofthemayor@brantford.ca,https://www.brantford.ca/en/your-government/about-mayor-kevin-davis.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/Mayor-Davis/Mayor-Kevin-Davis-small.jpg,https://www.brantford.ca/en/your-government/about-mayor-kevin-davis.aspx,2026-05-28,kevin-davis
6d8e85e1-8188-5844-9299-f8afb00181b8,role,,,,Rose,Sicoli,misc,Deputy Mayor for External Relations,,,,226-388-1623,RSicoli@brantford.ca,https://www.brantford.ca/en/your-government/city-council.aspx,https://www.brantford.ca/en/your-government/resources/Images/Council/2023-Council-Photos/RoseSicoli-2024.jpg,https://www.brantford.ca/en/your-government/mayoral-decisions.aspx,2026-05-28,rose-sicoli
