uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
c4746b8f-4feb-5942-bd0a-8cb5d1d78708,district,Ward 1,Ward 1,,Sherri,Colwell-McCavour,representative,Councillor,,2026-05-11,,,Sherri.Colwell-McCavour@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/sherri-colwell-mccavour,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Colwell-McCavour.jpg?itok=xfpLTrSi,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/sherri-colwell-mccavour,2026-06-12,sherri-colwell-mccavour
816bf4e0-a837-541b-9b62-59619ac52046,district,Ward 1,Ward 1,,Greg,Norton,representative,Councillor,,2026-05-11,,506-977-3848,greg.norton@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/greg-norton,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Norton.jpg?itok=6SaeTkKH,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/greg-norton,2026-06-12,greg-norton
fa4e7a78-78a3-5eb8-b884-27c227179465,district,Ward 2,Ward 2,,John,MacKenzie,representative,Councillor,,2026-05-11,,506-977-3849,john.mackenzie@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/john-mackenzie,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/MacKenzie.jpg?itok=r4Fu911R,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/john-mackenzie,2026-06-12,john-mackenzie
ba9ac2ca-1ed0-5072-8826-0cc8bba5714f,district,Ward 2,Ward 2,,Brian,Wyatt,representative,Councillor,,2026-05-11,,,Brian.Wyatt@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/brian-wyatt,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Wyatt.jpg?itok=aozEaxRH,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/brian-wyatt,2026-06-12,brian-wyatt
0b1a3e6c-219d-57bc-9f8b-623199d7ae11,district,Ward 3,Ward 3,,Eric,Savoie,representative,Councillor,,2026-05-11,,,Eric.Savoie@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/eric-savoie,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Savoie.jpg?itok=SyXpJtiL,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/eric-savoie,2026-06-12,eric-savoie
6e44c3a9-e9b8-5518-8fb6-d0ed6e3b8480,district,Ward 3,Ward 3,,Ryan,Moore,representative,Councillor,,2026-05-11,,,Ryan.Moore@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/ryan-moore,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Moore.jpg?itok=RCpc7MyW,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/ryan-moore,2026-06-12,ryan-moore
b12099bf-0ba5-59b8-b4de-14ae2ed83e95,district,Ward 4,Ward 4,,Paul,Dempsey,representative,Councillor,,2026-05-11,,,Paul.Dempsey@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/paul-dempsey,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Dempsey.jpg?itok=BNS5fu3q,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/paul-dempsey,2026-06-12,paul-dempsey
e9116b86-9da2-5acb-b033-83ca55787c0f,district,Ward 4,Ward 4,,David,Merrithew,representative,Councillor,,2026-05-11,,,David.Merrithew@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/david-merrithew,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Merrithew.jpg?itok=P3zFbp10,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/david-merrithew,2026-06-12,david-merrithew
6990343f-12b4-55d9-941b-005763942ca6,role,,,,Gary,Sullivan,representative,Councillor at Large,,2026-05-11,,506-639-1603,gary.sullivan@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/gary-sullivan,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Sullivan.jpg?itok=3y0rU7aY,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/gary-sullivan,2026-06-12,gary-sullivan
5024847d-b3d8-520c-b83b-860cedc5e171,role,,,,Gina,Hooley,representative,Councillor at Large,,2026-05-11,,,Gina.Hooley@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/gina-hooley,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Hooley.jpg?itok=3Djm_M-K,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/gina-hooley,2026-06-12,gina-hooley
e956342e-f28d-51ec-b382-8b282993df9a,role,,,,Donna,Noade Reardon,executive,Mayor,,2026-05-11,,506-658-2912,mayor@saintjohn.ca,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/donna-noade-reardon,https://saintjohn.ca/sites/default/files/styles/small_photo/public/2026-06/Reardon.jpg?itok=4F4HMqmf,https://saintjohn.ca/en/city-hall/council-and-committees/mayor-and-common-council/donna-noade-reardon,2026-06-12,donna-noade-reardon
