uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
ef45f1c2-0ca8-53c1-9105-0c9c6dbcc510,district,Dehcho,Dehcho,,Sheryl,Yakeleya,representative,Member of the Legislative Assembly,,,,867-767-9143,Sheryl_Yakeleya@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/sheryl-yakeleya,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/sheryl_yakeleya.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/sheryl-yakeleya,2026-06-03,sheryl-yakeleya
8bea8430-a9b1-55a6-ab58-105fb7e96d0a,district,Frame Lake,Frame Lake,,Julian,Morse,representative,Member of the Legislative Assembly,,,,867-446-1799,Julian_morse@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/julian-morse,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/julian_morse.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/julian-morse,2026-06-03,julian-morse
5c3c0d22-d582-59d3-bbd4-38fcee722449,district,Great Slave,Great Slave,,Kate,Reid,representative,Member of the Legislative Assembly,,,,867-767-9143,Kate_Reid@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/kate-reid,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/kate_reid.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/kate-reid,2026-06-03,kate-reid
bfe62874-cece-550c-9ac2-aaf00b6f8673,district,Hay River North,Hay River North,Hon.,R.J.,Simpson,representative,Member of the Legislative Assembly,,,,867-874-6301,Rj_simpson@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/rj-simpson,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/r.j._simpson.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/rj-simpson,2026-06-03,r-j-simpson
894c66db-0c2b-5192-b8a1-98528a3694ef,district,Hay River South,Hay River South,Hon.,Vince,McKay,representative,Member of the Legislative Assembly,,,,867-767-9143,Vince_McKay@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/vince-mckay,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/vince_mckay.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/vince-mckay,2026-06-03,vince-mckay
d17b4a54-b629-55e9-ab77-a893b1032dc0,district,Inuvik Boot Lake,Inuvik Boot Lake,,Denny,Rodgers,representative,Member of the Legislative Assembly,,,,867-777-4693,Denny_Rodgers@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/denny-rodgers,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/denny_rodgers_0.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/denny-rodgers,2026-06-03,denny-rodgers
e300f727-7e8c-54a1-a906-25f530401aae,district,Inuvik Twin Lakes,Inuvik Twin Lakes,Hon.,Lesa,Semmler,representative,Member of the Legislative Assembly,,,,867-678-2429,Lesa_semmler@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/lesa-semmler,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/lesa_semmler.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/lesa-semmler,2026-06-03,lesa-semmler
0395e4c5-8c54-57e5-8058-45d834db96be,district,Kam Lake,Kam Lake,Hon.,Caitlin,Cleveland,representative,Member of the Legislative Assembly,,,,867-446-1154,Caitlin_Cleveland@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/caitlin-cleveland,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/caitlin_cleveland.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/caitlin-cleveland,2026-06-03,caitlin-cleveland
5a2642cb-6b7b-5bf3-866f-ed000f54fba0,district,Mackenzie-Delta,Mackenzie Delta,,George,Nerysoo,representative,Member of the Legislative Assembly,,,,867-952-2652,George_Nerysoo@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/george-nerysoo,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/george_nerysoo.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/george-nerysoo,2026-06-03,george-nerysoo
27112e4e-f61d-5b4e-a338-16160feb4a9d,district,Monfwi,Monfwi,,Jane,Weyallon Armstrong,representative,Member of the Legislative Assembly,,,,867-767-9143,Jane_WeyallonArmstrong@ntassembly.ca,https://www.ntlegislativeassembly.ca/meet-members/mla/jane-weyallon-armstrong,https://www.ntlegislativeassembly.ca/sites/default/files/styles/3_4_portrait_profile/public/legacy/jane_weyallon_armstrong.jpg,https://www.ntlegislativeassembly.ca/meet-members/mla/jane-weyallon-armstrong,2026-06-03,jane-weyallon-armstrong
