uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
0d472d5b-2bcf-50ca-8389-bfff8587ed37,district,Lethbridge-West,Lethbridge-West,,Rob,Miyashiro,representative,Member of the Legislative Assembly,Alberta New Democratic Party,2023-05-29,2027-10-18,403-329-4644,Lethbridge.West@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0985&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0985.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,rob-miyashiro
fb804766-e38b-5876-b0f5-9fd7fd7f5a5d,district,Lethbridge-East,Lethbridge-East,Hon.,Nathan,Neudorf,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-320-1011,Lethbridge.East@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0930&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0930.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,nathan-neudorf
2a885b0d-7c20-55c0-a549-181dafc52956,district,Cardston-Siksika,Cardston-Siksika,Hon.,Joseph,Schow,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-653-5070,Cardston.Siksika@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0941&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0941.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,joseph-schow
8e904eb0-528e-5a9f-a8b5-2db052d2167a,district,Livingstone-Macleod,Livingstone-Macleod,Mrs.,Chelsae,Petrovic,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,587-424-2004,Livingstone.Macleod@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0979&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0979.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,chelsae-petrovic
ce62fafc-6f6f-57d0-b2df-c88dddaae0f0,district,Taber-Warner,Taber-Warner,Hon.,Grant,Hunter,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-223-0001,Taber.Warner@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0889&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0889.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,grant-hunter
67904d76-3292-5474-9afc-e2d7a091bcbd,district,Highwood,Highwood,Hon.,R.J.,Sigurdson,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-995-5488,Highwood@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0945&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0945.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,r-j-sigurdson
f1d2b2df-b814-5221-92af-dc1e4147b70b,district,Brooks-Medicine Hat,Brooks-Medicine Hat,Hon.,Danielle,Smith,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,587-270-5110,Brooks.MedicineHat@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0814&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0814.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,danielle-smith
79129a75-1adf-55a1-87a8-aa07d00b3dc7,district,Chestermere-Strathmore,Chestermere-Strathmore,Ms.,Chantelle,de Jonge,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-962-0126,Chestermere.Strathmore@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0975&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0975.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,chantelle-de-jonge
a4cf37fe-791a-5739-a0d5-500d7e0a54a1,district,Airdrie-East,Airdrie-East,Ms.,Angela,Pitt,representative,Member of the Legislative Assembly,United Conservative Party,2023-05-29,2027-10-18,403-948-8741,Airdrie.East@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0894&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0894.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,angela-pitt
5dd703c3-4f08-5f34-9bfa-fa31e24b16f9,district,Airdrie-Cochrane,Airdrie-Cochrane,Hon.,Pete,Guthrie,representative,Member of the Legislative Assembly,Progress Together,2023-05-29,2027-10-18,587-493-2050,Airdrie.Cochrane@assembly.ab.ca,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0920&legl=31&from=mla_home,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0920.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly,2026-05-31,pete-guthrie
