uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
f4001e36-eea4-53db-9fe7-a19563262c85,district,d'Aylmer,District d'Aylmer,,Vincent,Roy,representative,Conseiller,Action Gatineau,,,819 595-7110,roy.vincent@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_1,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_1_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_1,2026-06-19,vincent-roy
6ac34698-ab40-590b-9ae1-bfd5f4ef762c,district,de Lucerne,District de Lucerne,,Sonia,Ben-Arfa,representative,Conseillère,Action Gatineau,,,819 595-7110,ben-arfa.sonia@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_2,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_2_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_2,2026-06-19,sonia-ben-arfa
8b33ff19-c19c-551d-9b04-aac2468222d1,district,de Deschênes,District de Deschênes,,Caroline,Murray,representative,Conseillère,Action Gatineau,,,819 595-7110,murray.caroline@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_3,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_3_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_3,2026-06-19,caroline-murray
fc9b2de2-270f-5c93-afa6-02621f47a7da,district,du Plateau,District du Plateau,,Bettyna,Bélizaire,representative,Conseillère,Action Gatineau,,,819 595-7110,belizaire.bettyna@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_4,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_4_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_4,2026-06-19,bettyna-belizaire
bab1ac0e-a657-5c1a-9323-ecb6639f68df,district,de Mitigomijokan,District de Mitigomijokan,,Rachel M.,Deslauriers,representative,Conseillère,Action Gatineau,,,819 595-7110,mdeslauriers.rachel@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_5,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_5_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_5,2026-06-19,rachel-m-deslauriers
e894a5c2-b6f4-5c7f-bccf-f8f4ca9d589b,district,du Manoir-des-Trembles-Val-Tétreau,District du Manoir-des-Trembles–Val-Tétreau,,Adrian,Corbo,representative,Conseiller,Action Gatineau,,,819 595-7110,corbo.adrian@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_6,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_6_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_6,2026-06-19,adrian-corbo
8fc45eec-86c6-5895-a0c6-b956e6e859bd,district,de Hull-Wright,District de Hull–Wright,,Steve,Moran,representative,Conseiller,Action Gatineau,,,819 595-7110,moran.steve@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_7,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_7_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_7,2026-06-19,steve-moran
f23abbb6-f6cf-507d-9f9e-d6d765b51d87,district,du Parc-de-la-Montagne-Saint-Raymond,District du Parc-de-la-Montagne–Saint-Raymond,,Isabelle,Cousineau,representative,Conseillère,Action Gatineau,,,819 595-7110,cousineau.isabelle@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_8,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_8_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_8,2026-06-19,isabelle-cousineau
3e4bed08-a6da-5952-bec9-5afab261772f,district,de l'Orée-du-Parc,District de l'Orée-du-Parc,,Isabelle N.,Miron,representative,Conseillère,Action Gatineau,,,819 595-7110,miron.isabellen@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_9,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_9_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_9,2026-06-19,isabelle-n-miron
b2978c42-92e4-559f-9790-0f65b694f828,district,de Limbour,District de Limbour,,Julie,Bélisle,representative,Conseillère,Gatineau ensemble,,,819 595-7110,belisle.julie@gatineau.ca,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_10,https://www.gatineau.ca/docs/guichet_municipal/conseil_municipal/district_10_2.jpg,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/conseil_municipal/district_10,2026-06-19,julie-belisle
